experiment,experiment_label,dataset,output_method,accuracy,f1_score,iou,precision,recall
a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,CHASEDB1,APSRG,0.9197135379427046,0.5468726758647625,0.37705738029349173,0.4500805098541602,0.7066402187334172
a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,CHASEDB1,CA-APSRG,0.9234534385576053,0.5577805861383672,0.38754769554650015,0.4663994235840992,0.7045570762972958
a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,DRIVE,APSRG,0.9246445816142319,0.6969852491488083,0.5380631545901573,0.7111865145134497,0.6942500180842971
a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,DRIVE,CA-APSRG,0.9249377523142848,0.6972440571513994,0.5383268533640979,0.7131806110324758,0.6926469838614456
a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,STARE,APSRG,0.928647225501771,0.6412625683359312,0.481612298204093,0.5355523636870617,0.8348488510243893
a01_legacy_polling_bfs,A01 - Legacy percentile-polling seeds with BFS,STARE,CA-APSRG,0.930386186540732,0.6453755105414309,0.485332682970693,0.5401371770165189,0.8343212487412217
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,APSRG,0.9361059348038515,0.2145043674051937,0.12897458953031146,0.7248800608144125,0.14365962742897453
a02_harris_bfs,A02 - Harris polling seeds with BFS,CHASEDB1,CA-APSRG,0.936103439749273,0.21445881243726986,0.1289329774934703,0.7248586511007437,0.1436082771341156
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,APSRG,0.905045614179158,0.419952332724026,0.2761653454848039,0.8267124634881948,0.2939104885576037
a02_harris_bfs,A02 - Harris polling seeds with BFS,DRIVE,CA-APSRG,0.9049933891120279,0.4194787495236648,0.2757718072740407,0.8266097065871663,0.2934847087924309
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,APSRG,0.9407604486422668,0.40440316971888723,0.2788744663297772,0.6327930580781549,0.319524447624904
a02_harris_bfs,A02 - Harris polling seeds with BFS,STARE,CA-APSRG,0.9407629279811097,0.40436766895647364,0.2788385290608998,0.63289400139417,0.3194234426154592
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,APSRG,0.925557402640736,0.5361253536144472,0.36686744493123696,0.47389218933415195,0.6291447907714783
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,CHASEDB1,CA-APSRG,0.9271051929906096,0.5408761892914746,0.3713415258326868,0.482132365948381,0.6280358121675336
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,APSRG,0.8907499238403702,0.571502669759146,0.4022934023223331,0.5629987853184975,0.5869050447908395
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,DRIVE,CA-APSRG,0.8998234111800307,0.5887129170113236,0.4195671455539379,0.6083398476698989,0.5767417082166267
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,0.9031972845336481,0.5030106926360058,0.33812209200708504,0.416446235090241,0.6557565421419231
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,0.907890318772137,0.5149803514066418,0.3491063201115537,0.4340405683362592,0.654679972793076
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,0.9397104693979694,0.38879723314301995,0.24677140180412085,0.6595419131571759,0.29470319749434887
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,CA-APSRG,0.9397153105486439,0.38881678818692084,0.24678721258731803,0.6596537543275055,0.29470319749434887
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,DRIVE,APSRG,0.9042210788780451,0.4646483705253129,0.3085647523567675,0.7730172536709097,0.3434700676719785
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,DRIVE,CA-APSRG,0.9042069580404254,0.46443219785089884,0.3083688642744414,0.7731312833725199,0.3432070862418651
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,STARE,APSRG,0.9398964580873672,0.49719090516842046,0.3410957123167063,0.6735353922593128,0.42283698954848115
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,STARE,CA-APSRG,0.9399042502951594,0.4971701277860642,0.3410761267002623,0.6737428784878815,0.422754892210239
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,CHASEDB1,APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,CHASEDB1,CA-APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,DRIVE,APSRG,0.880278996904582,0.14427579519351624,0.07953694309786402,0.7372449178482925,0.08352552554342076
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,DRIVE,CA-APSRG,0.8802778973364924,0.14426053514659998,0.07952541121254678,0.7372455828168734,0.08351131382032828
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,STARE,APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a05_selective_hybrid_edge_delayed,A05 - Selective fuzzy-Harris with edge-delayed growing,STARE,CA-APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,CHASEDB1,APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,CHASEDB1,CA-APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,DRIVE,APSRG,0.880278996904582,0.14427579519351624,0.07953694309786402,0.7372449178482925,0.08352552554342076
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,DRIVE,CA-APSRG,0.8802778973364924,0.14426053514659998,0.07952541121254678,0.7372455828168734,0.08351131382032828
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,STARE,APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a06_process_context_record_only,A06 - Full APSRG with process context recorded only,STARE,CA-APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a07_process_context_override,A07 - Full CA-APSRG with process-context override,CHASEDB1,APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a07_process_context_override,A07 - Full CA-APSRG with process-context override,CHASEDB1,CA-APSRG,0.932458016051766,0.15772627545006673,0.08684540553749664,0.5907225768724587,0.09375094335367742
a07_process_context_override,A07 - Full CA-APSRG with process-context override,DRIVE,APSRG,0.880278996904582,0.14427579519351624,0.07953694309786402,0.7372449178482925,0.08352552554342076
a07_process_context_override,A07 - Full CA-APSRG with process-context override,DRIVE,CA-APSRG,0.8802778973364924,0.14426053514659998,0.07952541121254678,0.7372455828168734,0.08351131382032828
a07_process_context_override,A07 - Full CA-APSRG with process-context override,STARE,APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
a07_process_context_override,A07 - Full CA-APSRG with process-context override,STARE,CA-APSRG,0.926664108618654,0.14939453186976998,0.08562356415473876,0.6411530929153363,0.09030582480482965
